bed,bath,acre_lot,city,state,zip_code,house_size,price
2.0,1.0,0.35,Oxford,Massachusetts,1537.0,1056.0,289000.0
2.0,2.0,0.17,Thompson,Connecticut,6277.0,480.0,349000.0
3.0,2.0,0.41,Longmeadow,Massachusetts,1106.0,1817.0,449900.0
2.0,1.0,0.11,Worcester,Massachusetts,1606.0,932.0,299900.0
3.0,5.0,298.0,New Marlborough,Massachusetts,1259.0,4273.0,15500000.0
4.0,2.0,0.2,Adams,Massachusetts,1220.0,1846.0,275000.0
3.0,2.0,0.95,North Adams,Massachusetts,1247.0,1200.0,179900.0
3.0,3.0,0.92,Somers,Connecticut,6071.0,2215.0,385000.0
4.0,4.0,0.23,Ware,Massachusetts,1082.0,2145.0,180000.0
3.0,2.0,1.35,Tolland,Connecticut,6084.0,1992.0,349900.0
4.0,2.0,0.24,Fitchburg,Massachusetts,1420.0,1740.0,359900.0
4.0,2.0,1.84,Sutton,Massachusetts,1590.0,3590.0,600000.0
3.0,1.0,0.32,Enfield,Connecticut,6082.0,1576.0,225000.0
3.0,1.0,0.15,Greenfield,Massachusetts,1301.0,1416.0,235000.0
2.0,1.0,0.48,Southampton,Massachusetts,1073.0,1115.0,319000.0
1.0,1.0,0.09,East Longmeadow,Massachusetts,1028.0,793.0,129000.0
3.0,2.0,0.64,Wilbraham,Massachusetts,1095.0,1826.0,350000.0
7.0,3.0,0.11,Springfield,Massachusetts,1109.0,3035.0,70000.0
3.0,1.0,1.43,East Windsor,Connecticut,6016.0,1351.0,239900.0
4.0,2.0,0.2,Pittsfield,Massachusetts,1201.0,1712.0,129900.0
3.0,3.0,3.6,Mansfield,Connecticut,6268.0,1536.0,299900.0
3.0,2.0,0.18,Providence,Rhode Island,2904.0,1107.0,279900.0
2.0,2.0,0.51,Granby,Massachusetts,1033.0,2000.0,397000.0
4.0,3.0,1.14,Tolland,Connecticut,6084.0,2290.0,449900.0
4.0,2.0,0.24,Manchester,Connecticut,6042.0,1857.0,165000.0
3.0,2.0,1.25,Northborough,Massachusetts,1532.0,2306.0,519900.0
4.0,3.0,0.46,Pittsfield,Massachusetts,1201.0,2908.0,629900.0
8.0,4.0,0.17,Woonsocket,Rhode Island,2895.0,5262.0,460000.0
3.0,3.0,0.93,Stow,Massachusetts,1775.0,3080.0,799000.0
3.0,3.0,5.61,Lyme,Connecticut,6371.0,3359.0,649000.0
3.0,2.0,0.13,Spencer,Massachusetts,1562.0,1872.0,197500.0
3.0,2.0,0.69,Tolland,Connecticut,6084.0,1290.0,299900.0
3.0,2.0,0.66,Glastonbury,Connecticut,6033.0,1494.0,349900.0
4.0,5.0,1.24,Southborough,Massachusetts,1772.0,5169.0,950000.0
6.0,2.0,0.15,Vernon,Connecticut,6066.0,3201.0,249900.0
3.0,2.0,0.22,Windsor,Connecticut,6095.0,1660.0,324500.0
3.0,1.0,1.0,Stafford,Connecticut,6076.0,1008.0,229900.0
3.0,1.0,0.73,Palmer,Massachusetts,1069.0,1250.0,269900.0
4.0,2.0,0.29,Nashua,New Hampshire,3062.0,3271.0,429900.0
3.0,2.0,11.7,Alford,Massachusetts,1266.0,1543.0,469000.0
4.0,2.0,0.56,Thompson,Connecticut,6262.0,1774.0,175000.0
5.0,3.0,0.12,Hartford,Connecticut,6114.0,2910.0,299995.0
4.0,1.0,0.25,Berlin,Connecticut,6037.0,1462.0,179900.0
3.0,1.0,0.13,Holyoke,Massachusetts,1040.0,1456.0,279900.0
9.0,3.0,0.09,Worcester,Massachusetts,1604.0,4353.0,550000.0
3.0,2.0,0.16,Springfield,Massachusetts,1104.0,1284.0,240000.0
2.0,2.0,0.29,Hartford,Connecticut,6112.0,1410.0,169900.0
2.0,1.0,0.22,Hinsdale,Massachusetts,1235.0,706.0,249900.0
2.0,1.0,0.27,Greenfield,Massachusetts,1301.0,1200.0,235000.0
5.0,4.0,2.25,Grafton,Massachusetts,1536.0,4574.0,1150000.0
4.0,3.0,0.34,Leominster,Massachusetts,1453.0,3035.0,524900.0
3.0,1.0,0.13,Adams,Massachusetts,1220.0,1642.0,115000.0
3.0,2.0,0.17,Worcester,Massachusetts,1605.0,2121.0,449900.0
3.0,2.0,0.11,Pawtucket,Rhode Island,2861.0,1838.0,315000.0
3.0,2.0,0.33,Bolton,Massachusetts,1740.0,2096.0,550000.0
7.0,3.0,0.17,Worcester,Massachusetts,1604.0,4103.0,579900.0
6.0,2.0,0.08,Windham,Connecticut,6226.0,1755.0,105000.0
4.0,2.0,0.46,Acton,Massachusetts,1720.0,2209.0,699000.0
9.0,10.0,2.83,Greenfield,Massachusetts,1301.0,5512.0,945000.0
3.0,2.0,0.86,Spencer,Massachusetts,1562.0,1521.0,180000.0
3.0,2.0,0.52,Leominster,Massachusetts,1453.0,2484.0,439900.0
4.0,2.0,0.1,Springfield,Massachusetts,1104.0,2160.0,239999.0
5.0,4.0,1.6,Ashby,Massachusetts,1431.0,3574.0,549900.0
3.0,1.0,0.4,Pittsfield,Massachusetts,1201.0,1719.0,279999.0
4.0,3.0,0.95,Hopkinton,Massachusetts,1748.0,2060.0,675000.0
2.0,2.0,0.23,South Hadley,Massachusetts,1075.0,1210.0,199900.0
2.0,1.0,0.29,Rutland,Massachusetts,1543.0,1116.0,329900.0
4.0,2.0,0.96,Stafford,Connecticut,6076.0,1426.0,229900.0
3.0,1.0,0.47,Athol,Massachusetts,1331.0,1268.0,156750.0
5.0,4.0,0.66,South Windsor,Connecticut,6074.0,3634.0,550000.0
2.0,1.0,0.35,Brimfield,Massachusetts,1010.0,814.0,164900.0
3.0,2.0,0.37,Keene,New Hampshire,3431.0,1444.0,339900.0
4.0,2.0,0.07,Spencer,Massachusetts,1562.0,1632.0,210000.0
4.0,2.0,1.84,Sutton,Massachusetts,1590.0,3590.0,600000.0
4.0,4.0,1.01,Medway,Massachusetts,2053.0,4000.0,1200000.0
2.0,2.0,0.22,Worcester,Massachusetts,1602.0,1092.0,335000.0
4.0,4.0,0.91,South Hadley,Massachusetts,1075.0,2420.0,547500.0
2.0,1.0,0.5,Northampton,Massachusetts,1062.0,1072.0,399999.0
4.0,3.0,0.65,Amherst,Massachusetts,1002.0,3465.0,865000.0
3.0,1.0,2.8,Clarksburg,Massachusetts,1247.0,1520.0,126000.0
4.0,3.0,0.22,Springfield,Massachusetts,1118.0,2734.0,435000.0
1.0,1.0,0.09,East Longmeadow,Massachusetts,1028.0,793.0,129000.0
2.0,1.0,2.61,Montague,Massachusetts,1351.0,936.0,270000.0
3.0,2.0,0.16,Amherst,Massachusetts,1002.0,1280.0,275000.0
4.0,3.0,1.32,Sturbridge,Massachusetts,1566.0,2208.0,565000.0
5.0,4.0,0.48,Longmeadow,Massachusetts,1106.0,3657.0,825000.0
3.0,1.0,1.06,Sterling,Massachusetts,1564.0,825.0,340000.0
9.0,3.0,0.09,Pawtucket,Rhode Island,2861.0,4513.0,425000.0
2.0,1.0,1.09,Stafford,Connecticut,6076.0,1106.0,200000.0
9.0,9.0,1.0,Sheffield,Massachusetts,1257.0,5358.0,839000.0
9.0,3.0,0.16,Worcester,Massachusetts,1610.0,4077.0,629900.0
3.0,2.0,0.15,Worcester,Massachusetts,1604.0,1745.0,389900.0
3.0,1.0,0.05,North Providence,Rhode Island,2911.0,1028.0,254900.0
7.0,4.0,0.33,Orange,Massachusetts,1364.0,2538.0,377000.0
3.0,3.0,0.32,West Warwick,Rhode Island,2893.0,1332.0,379000.0
3.0,2.0,0.62,West Brookfield,Massachusetts,1585.0,1650.0,329900.0
3.0,2.0,0.05,Orange,Massachusetts,1364.0,1092.0,219900.0
4.0,1.0,0.11,Pawtucket,Rhode Island,2861.0,1165.0,280000.0
5.0,4.0,0.41,West Hartford,Connecticut,6107.0,3514.0,799900.0
3.0,2.0,0.28,Windsor,Connecticut,6095.0,1112.0,274999.0
3.0,1.0,0.29,East Hartford,Connecticut,6118.0,960.0,175000.0
2.0,1.0,0.26,Enfield,Connecticut,6082.0,1078.0,249900.0
4.0,1.0,0.12,Worcester,Massachusetts,1607.0,1248.0,249900.0
4.0,1.0,0.85,Ware,Massachusetts,1082.0,1921.0,234900.0
2.0,1.0,0.22,Hinsdale,Massachusetts,1235.0,706.0,249900.0
4.0,1.0,0.64,Longmeadow,Massachusetts,1028.0,1296.0,329000.0
4.0,2.0,0.14,Springfield,Massachusetts,1104.0,1399.0,225000.0
2.0,1.0,0.45,Somers,Connecticut,6071.0,846.0,189900.0
4.0,2.0,0.49,Amherst,Massachusetts,1002.0,1814.0,415000.0
2.0,1.0,0.14,Providence,Rhode Island,2908.0,1440.0,329900.0
4.0,3.0,2.38,Tolland,Connecticut,6084.0,1689.0,399000.0
5.0,3.0,4.0,Egremont,Massachusetts,1230.0,3488.0,585000.0
4.0,2.0,0.11,Worcester,Massachusetts,1605.0,1976.0,444900.0
1.0,1.0,1.63,Wilbraham,Massachusetts,1095.0,996.0,199000.0
3.0,2.0,0.15,Marlborough,Massachusetts,1752.0,1692.0,459900.0
3.0,3.0,0.14,Concord,Massachusetts,1742.0,2047.0,1095000.0
4.0,3.0,0.27,Torrington,Connecticut,6790.0,2356.0,299900.0
5.0,2.0,0.38,Northampton,Massachusetts,1060.0,3364.0,689000.0
4.0,5.0,1.02,Granby,Massachusetts,1033.0,2396.0,500000.0
3.0,2.0,0.28,Milford,Massachusetts,1757.0,2990.0,525000.0
3.0,1.0,0.21,Leicester,Massachusetts,1524.0,960.0,315000.0
5.0,2.0,0.13,Holyoke,Massachusetts,1040.0,1924.0,175000.0
3.0,2.0,0.15,Meriden,Connecticut,6450.0,1512.0,219900.0
3.0,2.0,0.25,Newington,Connecticut,6111.0,1352.0,339900.0
4.0,2.0,0.3,South Hadley,Massachusetts,1075.0,2112.0,295000.0
3.0,3.0,1.95,Groton,Massachusetts,1450.0,2780.0,870000.0
5.0,4.0,1.0,Stow,Massachusetts,1775.0,3622.0,699900.0
7.0,3.0,0.08,Spencer,Massachusetts,1562.0,2400.0,230000.0
3.0,3.0,3.88,Kent,Connecticut,6785.0,2488.0,620000.0
9.0,2.0,0.3,Spencer,Massachusetts,1562.0,2634.0,320000.0
5.0,3.0,0.57,Shrewsbury,Massachusetts,1545.0,1728.0,544900.0
2.0,3.0,5.25,Chelmsford,Massachusetts,1824.0,2312.0,749999.0
3.0,3.0,10.88,Auburn,Massachusetts,1501.0,2498.0,779800.0
6.0,2.0,0.24,Enfield,Connecticut,6082.0,2296.0,195000.0
4.0,3.0,2.32,Littleton,Massachusetts,1460.0,2726.0,769900.0
1.0,1.0,0.47,Cummington,Massachusetts,1026.0,608.0,160000.0
4.0,5.0,3.97,Barre,Massachusetts,1005.0,5023.0,849900.0
3.0,2.0,0.64,Wilbraham,Massachusetts,1095.0,1826.0,350000.0
3.0,3.0,0.21,Nashua,New Hampshire,3062.0,1672.0,499900.0
3.0,3.0,0.93,Stow,Massachusetts,1775.0,3080.0,799000.0
4.0,3.0,0.22,Thompson,Connecticut,6255.0,2306.0,219900.0
2.0,1.0,0.4,Cranston,Rhode Island,2831.0,884.0,334900.0
4.0,2.0,0.17,Holyoke,Massachusetts,1040.0,2094.0,299987.0
3.0,4.0,0.92,Ellington,Connecticut,6029.0,2129.0,379900.0
3.0,3.0,1.03,Suffield,Connecticut,6078.0,1310.0,375000.0
3.0,3.0,4.08,Barre,Massachusetts,1005.0,2283.0,449900.0
6.0,2.0,0.32,Vernon,Connecticut,6066.0,2600.0,199900.0
5.0,4.0,0.24,West Hartford,Connecticut,6119.0,2536.0,549000.0
4.0,2.0,0.11,Springfield,Massachusetts,1108.0,1806.0,250000.0
4.0,3.0,0.35,Natick,Massachusetts,1760.0,3350.0,1399990.0
3.0,2.0,0.13,Spencer,Massachusetts,1562.0,1872.0,197500.0
3.0,4.0,3.04,Amherst,Massachusetts,1002.0,2074.0,975000.0
4.0,5.0,4.98,Thompson,Connecticut,6255.0,4388.0,825000.0
3.0,1.0,0.25,Adams,Massachusetts,1220.0,1105.0,199900.0
3.0,1.0,0.11,Westfield,Massachusetts,1085.0,1248.0,235000.0
3.0,3.0,0.42,Manchester,Connecticut,6042.0,1370.0,294900.0
1.0,1.0,0.09,East Longmeadow,Massachusetts,1028.0,793.0,129000.0
4.0,4.0,40.66,Shrewsbury,Massachusetts,1545.0,2495.0,2795000.0
4.0,4.0,7.4,Hampton,Connecticut,6247.0,3840.0,675000.0
8.0,1.0,0.19,Hartford,Connecticut,6106.0,3779.0,309900.0
3.0,2.0,0.12,Enfield,Connecticut,6082.0,1479.0,290000.0
2.0,2.0,0.28,Adams,Massachusetts,1220.0,1206.0,159900.0
4.0,3.0,0.26,Enfield,Connecticut,6082.0,2187.0,299900.0
3.0,3.0,0.1,Worcester,Massachusetts,1604.0,2094.0,299900.0
4.0,3.0,0.69,Sudbury,Massachusetts,1776.0,2428.0,979900.0
3.0,3.0,0.23,North Canaan,Connecticut,6018.0,1510.0,288500.0
6.0,4.0,0.09,Providence,Rhode Island,2909.0,3520.0,450000.0
3.0,1.0,0.74,Shrewsbury,Massachusetts,1545.0,1152.0,349888.0
3.0,2.0,0.86,Spencer,Massachusetts,1562.0,1521.0,180000.0
4.0,4.0,0.96,Tyngsborough,Massachusetts,1879.0,2744.0,785000.0
